level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,unemployment_rate_mom,gdp_growth_mom,business_investment_mom,software_spending_mom,corporate_earnings_mom,consumer_sentiment_mom,m2_money_supply_mom,industrial_production_mom,daily_sentiment_score
57,57,2022-05-20,158.94439697265625,0.0256954331861917,159.13356068597275,161.26209869384766,174.8919245402018,162.2177720840807,0.027836295970763973,35.52971432319609,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,-8.333333333333332
58,58,2022-05-23,159.6114501953125,0.004187989035857338,157.072703390848,160.9355499267578,173.669021097819,161.74389537703192,0.025782903217479402,35.40455435668677,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,-7.5
59,59,2022-05-24,156.2364044189453,-0.021372152408674256,154.63354742088802,159.91806640625,172.39069620768228,160.74253338465252,0.024992693687401566,25.417619019969067,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,0.0
60,60,2022-05-25,158.94439697265625,0.01718416337281701,158.98422733328565,159.75678253173828,171.2238764444987,160.4155994915623,0.023622971489684605,36.71500368273851,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,0.0
61,61,2022-05-26,161.7419891357422,0.01744796946100461,159.95988687106131,159.9598831176758,170.12011006673177,160.65676124504952,0.02425130409433628,42.42998430171476,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,0.0
62,62,2022-05-27,164.3703155517578,0.016119498035655478,166.22208452477406,159.7796844482422,169.31335856119793,161.3319529371783,0.021040128319679607,51.69071710452215,0.0,0.10000000000000009,1.3,3.6761541771685113,0.8190852093120871,6.3047806164537645,9.764309764309775,0.0018413832471031455,0.2232325475391983,11.76470588235294
63,63,2022-05-31,159.5317840576172,-0.029878728520334873,177.22323729187775,159.39340057373047,168.4249694824219,161.00464950453082,0.022478167481460264,42.434881710499475,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,18.75
64,64,2022-06-01,175.2918243408203,0.09420897727701075,174.22655188126134,160.6219482421875,167.91656036376952,163.60231765658344,0.037927317896588084,63.30453760116395,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,2.7777777777777777
65,65,2022-06-02,187.56732177734375,0.06768567770861848,184.18234149418456,163.71521606445313,167.98857421875,167.9595911330853,0.03832291869769822,70.8494469096538,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,5.0
66,66,2022-06-03,184.09274291992188,-0.018698162213823446,188.09498186420666,166.63326263427734,168.24344278971355,170.89289145796465,0.03903668107922734,64.04053465343694,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,21.428571428571427
67,67,2022-06-06,182.061767578125,-0.011093656435929253,180.9069014345017,168.94499969482422,168.6230911254883,172.9235962070847,0.03987765951000705,64.79872800882187,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,0.0
68,68,2022-06-07,186.32284545898438,0.02313488555479027,186.1735128104787,171.61613922119142,169.040571085612,175.35982334379372,0.03983196504699702,67.4152129960772,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,12.5
69,69,2022-06-08,188.3538360595703,0.010841403234358563,187.696757517313,174.8278823852539,169.6747563680013,177.72237111029855,0.03777025503672079,75.33393277641512,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,0.0
70,70,2022-06-09,186.2830352783203,-0.011055088432975108,182.81841448836934,177.5617462158203,170.0872589111328,179.27885550448434,0.03893353387636965,74.91695616468374,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,8.333333333333332
71,71,2022-06-10,177.6613006591797,-0.047388279780371204,169.7962153561004,179.15367736816407,169.84533284505207,178.98475462351985,0.04374330711699853,63.856113333048675,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,10.0
72,72,2022-06-13,165.2961883544922,-0.07213998676821622,167.98425745901594,179.2462646484375,169.5164591471354,176.49592439278754,0.05060056745128207,53.58711532784475,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,0.0
73,73,2022-06-14,163.72317504882812,-0.009561901004359092,165.99309036910924,179.6654037475586,169.0810582478841,174.17360633024947,0.04964132119420741,54.834150202675424,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,10.0
74,74,2022-06-15,167.8050537109375,0.024625866446166947,163.00634994791082,178.9167266845703,168.75550333658853,173.01568767219274,0.03913818787979663,55.62152002109623,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,50.0
75,75,2022-06-16,159.1435089111328,-0.052996544131047034,157.8592124436289,176.07434539794923,167.90494588216146,170.49347335200002,0.03249530755351268,48.465599197866645,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,-25.0
76,76,2022-06-17,162.53843688964844,0.021108141590010728,164.3205197755139,173.91891479492188,167.60494435628254,169.0471030861179,0.03455956040471699,48.927982466824375,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,-50.0
77,77,2022-06-21,166.0926513671875,0.02163126491471073,163.97206938598586,172.32200317382814,167.50970052083332,168.50993004631235,0.03621238970129956,53.89802100458128,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,50.0
78,78,2022-06-22,166.7099151611328,0.003709493638812252,168.34266689253369,170.36071014404297,167.63746643066406,168.18265461264332,0.034778962698627756,43.782451696663806,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,16.666666666666664
79,79,2022-06-23,172.28517150878906,0.03289581072143559,176.93452668969732,168.75384368896485,167.83326416015626,168.9285667755789,0.036957555147313075,37.73766341827856,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,20.0
80,80,2022-06-24,185.09828186035156,0.07173585953209033,185.28745560891133,168.63536834716797,168.65129903157552,171.8685149728103,0.0448548850451362,50.70168336286696,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,8.333333333333332
81,81,2022-06-27,180.5086669921875,-0.025108144115054448,179.49317038761183,168.92010498046875,169.3445551554362,173.43945170360615,0.042780066081388124,48.95358491543678,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,-12.5
82,82,2022-06-28,170.70220947265625,-0.05585821987996727,171.73758777873047,169.46070709228516,169.49555206298828,172.9417712979789,0.03987324968473539,40.20722480162177,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,0.0
83,83,2022-06-29,169.85594177246094,-0.004969896853108479,164.32052765901676,170.07398376464843,169.71092936197917,172.38071138424837,0.03973591994360587,38.22857810916636,0.49999999999999994,-0.10000000000000009,0.0,-3.487696412689001,0.7102272727272707,0.0,-10.429447852760742,-0.12244973116301017,0.061708959169082256,18.75
