level_0,index,Date,Adj_Closed_price,Log_Return,Next_day_Adj_Open_price,ma_10,ma_30,ema_10,volatility_10,rsi_14,interest_rate_mom,gdp_growth_mom,unemployment_rate_mom,consumer_spending_mom,retail_sales_mom,import_prices_mom,consumer_sentiment_mom,crude_oil_prices_mom,global_trade_volume_mom,daily_sentiment_score
72,72,2022-06-13,107.10173797607422,-0.03810913337176166,107.0338414507077,115.31259231567383,111.41026280721029,113.08253841365931,0.025773679993516672,52.98969212158521,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,21.875
73,73,2022-06-14,107.37326049804688,0.0025319749990719343,108.76974669693135,114.55265350341797,110.92381184895834,112.04448788354796,0.02389971219635014,55.4817433944859,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,16.666666666666664
74,74,2022-06-15,110.01105499267578,0.024269680753877105,106.19983681464684,114.0729377746582,110.62911911010742,111.67477281248028,0.025848238870875135,57.75334001106655,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,0.0
75,75,2022-06-16,103.882080078125,-0.05732445022632869,102.94140364794286,112.5227554321289,110.0269406636556,110.25791958805205,0.02586192612556522,42.53418079515268,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-23.076923076923077
76,76,2022-06-17,104.09542846679688,0.002051649382677936,105.18157673867313,111.20289459228516,109.6714604695638,109.13746665691474,0.026291860007972276,37.80348897882685,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,0.0
77,77,2022-06-21,105.39492797851562,0.012406453471014944,102.21406756171575,110.08280715942382,109.49279479980468,108.45700507902399,0.027375198054776565,34.93226564474806,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,7.142857142857142
78,78,2022-06-22,101.74857330322266,-0.03520971066896491,101.8358695578354,108.45843734741212,109.2983502705892,107.23729021069647,0.027221064669470253,31.483115724942195,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,23.684210526315788
79,79,2022-06-23,104.73548889160156,0.028933215703743034,106.60712130337447,107.06196670532226,109.25893274943034,106.7824172435883,0.029995250450295986,28.25054594613333,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-8.33333333333333
80,80,2022-06-24,109.4970474243164,0.04445956639332721,108.84731498857901,106.51016616821289,109.42885945638021,107.27598636735704,0.03400048885358624,39.27424827579548,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-17.647058823529406
81,81,2022-06-27,107.159912109375,-0.021575360236721273,104.92942318055475,106.099951171875,109.52152684529622,107.25488195681484,0.033115687644111214,37.57976418462329,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-2.7777777777777777
82,82,2022-06-28,99.67325592041016,-0.07242482904377195,99.8769157948243,105.35710296630859,109.19986241658529,105.87640449565035,0.038423532381804064,29.218898321455498,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-22.448979591836732
83,83,2022-06-29,100.12905883789062,0.004562546822636884,98.8586584235949,104.63268280029297,108.90661265055338,104.83143255787584,0.03848592299005478,28.811692410754546,0.49999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,64.67031384969768,0.0,-8.823529411764707
84,84,2022-06-30,99.11079406738281,-0.010221585906689878,98.5677148146411,103.54265670776367,108.47300898234049,103.79131646869529,0.036885925574931484,30.678616507144525,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,0.0
85,85,2022-07-01,98.12162017822266,-0.010030624901203464,97.41367871994375,102.96661071777343,108.21699879964193,102.76046259770027,0.033036923846239144,32.88707526791978,,,,,,,,,,-7.142857142857141
86,86,2022-07-05,101.16670227050781,0.03056194229814118,101.71948355183294,102.67373809814453,108.15697174072265,102.47068799275618,0.03495517656193952,42.03951075220733,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,5.555555555555555
87,87,2022-07-06,101.07943725585938,-0.0008629585738279559,102.4565165369272,102.2421890258789,108.04373194376628,102.2177333133204,0.03456115140136053,41.51634669296058,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,3.8461538461538463
88,88,2022-07-07,104.8615493774414,0.03673418752167671,103.35840290542038,102.55348663330078,108.03624776204427,102.69842714316057,0.03487104215486431,43.26653298616307,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,25.0
89,89,2022-07-08,104.66759490966797,-0.001851336947237026,103.37779036980633,102.54669723510742,108.06550776163736,103.05645764616192,0.03366663219460732,51.21584965641522,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,8.333333333333332
90,90,2022-07-11,101.93283081054688,-0.026475490865977013,101.83585813845716,101.79027557373047,107.9742655436198,102.85216185786825,0.030573953772829024,46.89500894069522,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,14.285714285714285
91,91,2022-07-12,100.62364196777344,-0.012926835223329705,98.85865247215361,101.13664855957032,107.68653818766276,102.44697642330556,0.030241335581638076,43.151440100644095,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,11.76470588235294
92,92,2022-07-13,101.93283081054688,0.012926835223329726,99.99328471581406,101.36260604858398,107.34410044352214,102.35349540280396,0.01971582299237957,50.28349871051579,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,27.272727272727273
93,93,2022-07-14,100.09996032714844,-0.01814478490963497,101.59340868895963,101.35969619750976,106.84834416707356,101.94376175268476,0.020701802863465162,42.60516548398907,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,16.666666666666664
94,94,2022-07-15,101.53521728515625,0.014236416640001718,102.98019944072351,101.60213851928711,106.40591100056966,101.86948094040685,0.02080832868104763,35.79092899719433,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,16.666666666666664
95,95,2022-07-18,100.79821014404297,-0.0072851076568051934,102.40802235967321,101.86979751586914,105.7863878885905,101.67470443197705,0.02064330420977584,37.95888778980354,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,16.666666666666664
96,96,2022-07-19,105.88951110839844,0.049275603483473394,105.9185947000211,102.3420783996582,105.4062370300293,102.44103291859912,0.0240222560962813,62.93908453869147,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,0.0
97,97,2022-07-20,107.75146484375,0.017431121273452543,107.03383945740529,103.00928115844727,105.11142578125,103.40656599589927,0.024258588342628007,64.98857723404038,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,27.272727272727273
98,98,2022-07-21,108.24605560302734,0.004579604642367157,108.54667649493268,103.34773178100586,104.78655192057292,104.28647319719528,0.021795923681516807,68.34116633922343,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,33.33333333333333
99,99,2022-07-22,105.82161712646484,-0.02265210915180844,106.29681059246931,103.46313400268555,104.35726598103841,104.56559027524429,0.023271669860811185,64.61711634729522,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,20.0
100,100,2022-07-25,105.9767837524414,0.0014652297004438411,104.23119182378692,103.867529296875,104.0559903462728,104.82217090746194,0.02117647290260592,60.25644904937832,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,16.666666666666664
101,101,2022-07-26,102.02010345458984,-0.03805016236392229,103.08687267681447,104.00717544555664,103.74792505900065,104.31270409784884,0.02460593915282941,51.721666819803005,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,31.25
102,102,2022-07-27,104.59971618652344,0.024970951749070363,106.12225632273426,104.2738639831543,103.66452433268229,104.36488811397149,0.025512109328264917,49.49871066144368,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,16.666666666666664
103,103,2022-07-28,108.8376235961914,0.03971624145190244,109.35158364941863,105.14763031005859,103.71333643595378,105.17811274710238,0.0268168555456845,56.91319417918294,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,8.333333333333332
104,104,2022-07-29,111.4462890625,0.0236856826384263,110.55411977281359,106.13873748779297,103.76117757161458,106.31778116808377,0.02721017615089512,65.83790454387727,0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-5.787725126770404,0.0,16.666666666666664
