Date,pharmaceutical_prices,unemployment_rate,interest_rate,gdp_growth,consumer_sentiment,m2_money_supply
2023-01-30,281.741,4.1,4.33,2.8,70.5,21221.2
2023-01-31,281.741,4.1,4.33,2.8,70.5,21221.2
2023-02-02,281.741,4.1,4.58,2.8,70.5,21221.2
2023-02-03,281.741,4.1,4.58,2.8,70.5,21221.2
2023-02-04,281.741,4.1,4.58,2.8,70.5,21221.2
2023-02-05,281.741,4.1,4.58,2.8,70.5,21221.2
2023-02-06,281.741,4.1,4.58,2.8,70.5,21221.2
2023-02-07,281.741,4.1,4.58,2.8,70.5,21221.2
2023-02-08,281.741,4.1,4.58,2.8,70.5,21221.2
2023-02-09,281.741,4.1,4.57,2.8,70.5,21221.2
2023-02-10,281.741,4.1,4.58,2.8,70.5,21221.2
2023-02-11,281.741,4.1,4.58,2.8,70.5,21221.2
